x1,x2,class
6.70,6.79,1
6.92,3.87,1
7.87,5.36,1
2.93,6.91,0
6.67,4.92,1
5.65,3.86,1
3.52,7.09,0
4.56,8.94,0
6.68,4.84,1
3.99,6.00,0
6.75,5.45,1
5.65,5.90,1
3.45,7.03,0
3.01,8.91,0
2.44,8.49,0
7.28,4.75,1
5.93,4.39,1
3.06,7.53,0
1.66,4.77,0
3.53,7.43,0
4.12,4.91,0
3.99,5.22,0
6.47,4.55,1
6.22,4.12,1
6.58,4.60,1
3.22,7.60,0
3.50,6.06,0
2.20,7.53,0
2.90,6.49,0
4.33,4.87,1
6.97,6.38,1
6.06,2.55,1
1.62,6.22,0
2.39,6.91,0
3.02,6.31,0
3.18,6.81,0
3.13,7.48,0
6.96,3.86,1
7.09,4.78,1
5.47,7.16,1
5.63,4.66,1
4.26,6.73,0
6.95,6.06,1
2.58,6.74,0
5.39,6.94,0
1.90,8.78,0
5.61,4.10,1
6.99,5.76,1
7.86,5.03,1
8.24,5.05,1
2.71,6.88,0
7.52,4.92,1
4.56,6.87,0
2.49,6.56,0
5.24,3.69,1
2.16,8.55,0
2.71,7.72,0
1.62,7.30,0
1.16,8.48,0
4.44,4.72,0
6.15,5.50,1
6.75,5.88,1
7.27,7.76,1
6.75,4.72,1
3.08,6.00,0
3.05,6.88,0
6.22,4.42,1
6.37,5.69,1
7.40,4.10,1
3.89,6.73,0
4.22,6.58,0
2.94,7.93,0
6.73,5.26,1
6.85,5.56,1
6.65,4.36,1
7.06,5.24,1
7.06,5.18,1
1.58,7.09,0
-0.00,6.64,0
4.29,7.13,0
7.23,2.94,1
7.41,5.37,1
2.11,9.74,0
1.86,7.44,0
7.71,3.97,1
7.38,5.99,1
8.36,4.57,1
5.76,5.62,1
3.57,8.30,0
5.62,6.94,1
3.26,8.33,0
2.12,6.61,0
6.63,5.26,1
4.49,7.13,0
4.02,7.45,0
5.37,4.89,1
2.74,6.76,0
8.35,5.27,1
7.17,4.34,1
2.82,7.02,0
